prompt_id,theme,prompt,negative_prompt_key,guidance_scale,num_inference_steps,seed
CP025,cyberpunk_city,"Cyberpunk monorail passing through neon canyon of buildings, long exposure style",combined_default,7.5,30,1025
CP026,cyberpunk_city,"Cyberpunk street fashion photoshoot in an alley, chromatic lighting, editorial composition",combined_default,7.5,30,1026
CP027,cyberpunk_city,"Cyberpunk rooftop chase scene, wet metal, electric sparks, dynamic perspective",combined_default,7.5,30,1027
CP028,cyberpunk_city,"Cyberpunk old-town district fused with advanced tech, retro signs and holograms together",combined_default,7.5,30,1028
CP029,cyberpunk_city,"Cyberpunk city square in heavy acid rain, umbrellas with LED edges, moody cinematic look",combined_default,7.5,30,1029
CP030,cyberpunk_city,"Cyberpunk emergency evacuation route with guiding holograms, dystopian atmosphere",combined_default,7.5,30,1030
CP031,cyberpunk_city,"Cyberpunk repair workshop packed with android parts, warm neon interior, detailed clutter",combined_default,7.5,30,1031
CP032,cyberpunk_city,"Cyberpunk data center tower at night, glowing server cores visible through glass facade",combined_default,7.5,30,1032
CP033,cyberpunk_city,"Cyberpunk overpass with endless traffic streams, neon reflections, atmospheric perspective",combined_default,7.5,30,1033
CP034,cyberpunk_city,"Cyberpunk slum district with improvised tech, colorful cables, gritty realism",combined_default,7.5,30,1034
CP035,cyberpunk_city,"Cyberpunk luxury district penthouse exterior, sleek black glass, violet neon rim lighting",combined_default,7.5,30,1035
CP036,cyberpunk_city,"Cyberpunk street musician with holographic instruments, rain droplets frozen in light",combined_default,7.5,30,1036
CP037,cyberpunk_city,"Cyberpunk news broadcast square with giant screens, crowd silhouettes, dramatic composition",combined_default,7.5,30,1037
CP038,cyberpunk_city,"Cyberpunk biotech lab exterior, transparent walls, floating UI elements, cool blue tones",combined_default,7.5,30,1038
CP039,cyberpunk_city,"Cyberpunk moonlit skyline with intermittent neon flicker, atmospheric haze, painterly detail",combined_default,7.5,30,1039
CP040,cyberpunk_city,"Cyberpunk transit hub interior, polished chrome, directional holograms, cinematic symmetry",combined_default,7.5,30,1040
CP041,cyberpunk_city,"Cyberpunk protest march under neon banners, drones overhead, cinematic documentary style",combined_default,7.5,30,1041
CP042,cyberpunk_city,"Cyberpunk arcade street at night, retro machines spilling light onto wet pavement",combined_default,7.5,30,1042
CP043,cyberpunk_city,"Cyberpunk cemetery of obsolete robots, neon fog, melancholic dystopian mood",combined_default,7.5,30,1043
CP044,cyberpunk_city,"Cyberpunk canal district with floating market boats, holographic reflections, twilight scene",combined_default,7.5,30,1044
CP045,cyberpunk_city,"Cyberpunk storm shelter entrance, emergency signage, puddles, gritty urban realism",combined_default,7.5,30,1045
CP046,cyberpunk_city,"Cyberpunk fashion district with animated storefronts, glowing mannequins, glossy textures",combined_default,7.5,30,1046
CP047,cyberpunk_city,"Cyberpunk industrial zone with plasma furnaces, workers in exosuits, dark orange glow",combined_default,7.5,30,1047
CP048,cyberpunk_city,"Cyberpunk city hall plaza, monumental architecture, surveillance drones, overcast light",combined_default,7.5,30,1048
CP049,cyberpunk_city,"Cyberpunk observatory tower above smog layer, holographic stars, serene neon night",combined_default,7.5,30,1049
CP050,cyberpunk_city,"Cyberpunk city at sunrise after rain, clean reflections, pastel neon gradients, hopeful mood",combined_default,7.5,30,1050
